Features,Importance
CAR_AGE,0.2274794096541319
ALL_BUYINS_N,0.1243616083037369
CUST_AGE,0.09537627312773238
GLASSBUYSEPARATE_CNT,0.09115994675101691
ONCE_PAY,0.09024617085610552
LOAN_AMOUNT,0.08354766432810423
CAR_PRICE,0.06389304995551466
LOAN_PERIED,0.055606183414294165
F_INSORNOT,0.05488382262694959
DLRSI_CNT,0.03288725521991614
SII_CNT,0.021811578067482577
CUST_SEX,0.018137538147701228
IS_LOAN,0.007832414021340156
CAR_MODEL_车型2,0.0054942032863643355
BUYERPART,0.004824399395392635
CAR_MODEL_车型6,0.004561004368267054
CAR_MODEL_车型4,0.0035334611831980135
CAR_MODEL_车型7,0.0035125204103065226
CAR_MODEL_车型9,0.0031168047640059916
CAR_MODEL_车型3,0.0028589415724334776
CAR_MODEL_车型5,0.0021203284586469263
CAR_MODEL_车型13,0.0009621385512340674
CAR_MODEL_车型11,0.0008548428462637019
CAR_MODEL_车型10,0.0006529627872790839
CAR_MODEL_车型8,0.00016204933133806142
CAR_MODEL_车型1,9.967155280728873e-05
CAR_MODEL_车型12,2.3757018436434643e-05
CAR_MODEL_nan,0.0
